TransactionID,mean,sum,cnt
3663641,0.0,0,1
3663562,0.0,0,2
3663612,0.0,0,1
3663748,0.0,0,1
3663750,0.0,0,2
3664077,0.0,0,0
3664093,0.07692307692307693,2,26
3663918,0.0,0,2
3664066,0.0,0,2
3663781,0.0,0,26
3663980,0.03333333333333333,1,30
3663684,0.0,0,0
3663563,0.0,0,2
3663897,0.0,0,2
3663960,0.0,0,2
3663905,0.0,0,5
3664099,0.0,0,0
3663887,0.0,0,2
3663558,0.0,0,10
3663794,0.0,0,1
3663873,0.0,0,1
3663777,0.0,0,1
3663741,0.1,3,30
3664055,0.0,0,32
3663807,0.0,0,7
3663928,0.0,0,3
3663819,0.0,0,0
3663654,0.0,0,15
3663857,0.0,0,15
3664045,0.0,0,1
3663856,0.0,0,2
3663606,0.0,0,2
3663706,0.0,0,1
3663820,0.0,0,2
3663901,0.0,0,1
3663600,0.0,0,4
3663636,0.0,0,0
3663637,0.0,0,0
3663617,0.0,0,3
3663713,0.0,0,1
3663824,0.0,0,1
3663929,0.0,0,4
3663939,0.0,0,3
3663938,0.0,0,0
3663942,0.0,0,0
3663949,0.0,0,0
3663966,0.0,0,2
3663974,0.0,0,2
3664047,0.0,0,4
3664071,0.0,0,1
3663776,0.0,0,7
3663557,0.0,0,3
3663696,0.0,0,6
3663668,0.0,0,35
3663795,0.0,0,35
3663945,0.0,0,1
3663898,0.0,0,0
3663583,0.0,0,1
3663728,0.0,0,2
3663729,0.0,0,1
3663753,0.0,0,1
3663733,0.0,0,0
3664059,0.0,0,1
3663731,0.0,0,30
3664061,0.0,0,25
3663752,0.0,0,16
3663639,0.0,0,3
3663764,0.0,0,1
3663556,0.0,0,0
3664082,0.0,0,1
3663959,0.0,0,1
3663986,0.0,0,14
3664073,0.0,0,4
3663673,0.0,0,1
3664002,0.0,0,0
3663603,0.0,0,1
3663635,0.0,0,1
3663551,0.0,0,1
3663657,0.0,0,1
3663766,0.04,1,25
3663867,0.0,0,0
3663888,0.0,0,0
3663890,0.0,0,0
3663892,0.0,0,0
3663895,0.0,0,0
3663971,0.0,0,1
3663832,0.0,0,7
3664025,0.0,0,7
3663640,0.0,0,22
3663930,0.0,0,2
3663935,0.0,0,2
3663943,0.0,0,2
3663822,0.0,0,1
3664053,0.0,0,0
3663837,0.0,0,0
3663840,0.0,0,0
3663843,0.0,0,0
3663846,0.0,0,0
3663719,0.0,0,1
3663648,0.0,0,1
3663652,0.0,0,0
3663561,0.0,0,8
3663587,0.0,0,8
3663589,0.0,0,8
3663666,0.0,0,1
3663679,0.0,0,0
3663633,0.0,0,3
3663941,0.0,0,3
3663850,0.0,0,10
3663852,0.0,0,10
3663647,0.0,0,2
3663908,0.0,0,31
3663798,0.0,0,2
3663631,0.0,0,5
3663578,0.0,0,0
3664063,0.0,0,0
3663896,0.0,0,0
