TransactionID,mean_D2,sum_D2,cnt_D2
3122631,0.0,0,1
3124324,0.0,0,13
3124351,0.0,0,13
3124397,0.0,0,0
3124421,0.0,0,16
3124500,0.0,0,1
3124974,0.0,0,0
3125007,0.0,0,0
3125032,0.0,0,0
3125073,0.0,0,5
3125116,0.047619047619047616,1,21
3125121,0.047619047619047616,1,21
3125210,0.0,0,5
3125385,0.0,0,3
3125447,0.0,0,10
3125583,0.0,0,4
3125763,0.0,0,1
3126172,0.0,0,0
3126644,0.0,0,2
3127013,0.08333333333333333,2,24
3127095,0.08333333333333333,2,24
3127097,0.5,1,2
3127300,0.0,0,6
3127323,0.0,0,1
3127503,0.0,0,0
3125597,0.0,0,0
3126718,0.0,0,0
3126777,0.0,0,2
3126934,0.0,0,1
3127047,0.0,0,1
3127501,0.0,0,13
3127954,0.0,0,36
3128166,0.0,0,13
3129195,0.0,0,1
3129291,0.0,0,1
3129538,0.0,0,4
3129637,0.0,0,0
3129819,0.16666666666666666,1,6
3130151,0.0,0,0
3130216,0.0,0,4
3130245,0.0,0,0
3130309,0.0,0,3
3130505,0.0,0,0
3130953,0.0,0,3
3131268,0.0,0,1
3131272,0.0,0,5
3127693,0.0,0,0
3127791,1.0,2,2
3127894,0.0,0,0
3127901,0.0,0,0
3128049,0.0,0,2
3128068,0.0,0,2
3128101,0.047619047619047616,1,21
3128117,0.047619047619047616,1,21
3128135,0.0,0,2
3128239,0.0,0,2
3128282,0.0,0,5
3128501,0.047619047619047616,1,21
3128589,0.0,0,24
3128631,0.0,0,7
3128669,0.0,0,7
3128837,0.0,0,7
3128862,0.0,0,4
3128881,0.0,0,7
3128909,0.0,0,1
3129082,0.0,0,5
3129163,0.02564102564102564,1,39
3129425,0.0,0,3
3129768,0.0,0,1
3129856,0.0,0,5
3129869,0.0,0,5
3130043,0.02564102564102564,1,39
3130112,0.0,0,0
3130254,0.0,0,0
3130869,0.25,1,4
3131253,0.0,0,3
3127613,0.0,0,0
3128331,0.0,0,0
3128384,0.0,0,0
3128468,0.0,0,0
3128716,0.0,0,7
3128800,0.0,0,7
3128936,0.0,0,0
3129595,0.0,0,0
3129632,0.0,0,7
3130662,0.0,0,1
3131072,0.0,0,1
3131126,0.0,0,3
3131129,0.0,0,3
3131154,0.0,0,7
3131247,0.0,0,2
3131318,0.0,0,13
3131327,0.0,0,14
3131572,0.0,0,0
3131626,0.0,0,1
3131636,0.0,0,1
3131781,0.0,0,1
3131793,0.0,0,1
3133132,0.0,0,1
3133254,0.0,0,5
3133410,0.3333333333333333,2,6
3133862,0.0,0,3
3134329,0.0,0,1
3134447,0.0,0,0
3131556,0.0,0,3
3131857,0.0,0,3
3131924,0.0,0,5
3131937,0.0,0,5
3132109,0.0,0,5
3132145,0.0,0,5
3132507,0.0,0,3
3132632,0.0,0,2
3132977,0.0,0,3
3133008,0.0,0,19
3133045,0.0,0,5
3133488,1.0,1,1
3134069,0.0,0,7
3134411,0.0,0,0
3134442,0.0,0,4
3134632,0.0,0,1
3134665,0.0,0,0
3134793,0.0,0,16
3135176,0.0,0,2
3135327,0.0,0,9
3135492,0.0,0,15
3135493,0.0,0,15
3135511,0.0,0,3
3131381,0.0,0,12
3131441,0.0,0,6
3131448,0.0,0,12
3131457,0.0,0,12
3131515,0.0,0,0
3131696,0.0,0,1
3131833,0.0,0,11
3131844,0.0,0,11
3131847,0.0,0,2
3132026,0.0,0,11
3132221,0.0,0,1
3132466,0.0,0,14
3132850,0.75,3,4
3133196,0.0,0,12
3133238,0.02564102564102564,1,39
3133706,0.0,0,6
3133986,0.0,0,3
3134032,0.047619047619047616,1,21
3134194,0.0,0,1
3134207,0.0,0,2
3134721,0.0,0,1
3134776,0.0,0,0
3135078,0.0,0,21
3135222,0.0,0,31
3131719,0.0,0,0
3132051,0.0,0,0
3132091,0.0,0,0
3132924,0.0,0,3
3132997,0.0,0,0
3133017,0.0,0,0
3133063,0.0,0,0
3133092,0.0,0,0
3134396,0.0,0,1
3134889,0.0,0,4
3135281,0.0,0,1
3135400,0.0,0,0
3135534,0.0,0,0
3135535,0.0,0,0
3135694,0.0,0,3
3135706,0.0,0,3
3135765,0.0,0,3
3136484,0.0,0,25
3136605,0.0,0,0
3136771,0.0,0,43
3139061,0.0,0,0
3136016,0.0,0,2
3136174,0.0,0,0
3136283,0.0,0,6
3136304,0.0,0,10
3136320,0.0,0,10
3136415,0.0,0,0
3136612,0.0,0,0
3136621,0.0,0,0
3136724,0.0,0,11
3136873,0.0,0,6
3137180,0.3333333333333333,2,6
3137256,0.0,0,7
3137261,0.0,0,1
3137274,0.0,0,1
3137398,0.0,0,1
3137566,0.0,0,34
3138373,0.0,0,0
3138970,0.058823529411764705,2,34
3135720,0.0,0,3
3136520,0.0,0,1
3136929,0.0,0,1
3136955,0.0,0,1
3137033,0.0,0,3
3137388,0.0,0,1
3137411,0.0,0,1
3137420,0.0,0,0
3137425,0.0,0,1
3137596,0.0,0,1
3137632,0.0,0,7
3137910,0.0,0,3
