,feature,fold_1,fold_2,average
0,TransactionAmt,336,810,573.0
1,ProductCD,14,224,119.0
2,card1,1099,2880,1989.5
3,card2,608,1397,1002.5
4,card3,11,21,16.0
5,card4,34,79,56.5
6,card5,92,144,118.0
7,card6,145,160,152.5
8,addr1,1130,2722,1926.0
9,addr2,6,20,13.0
10,dist1,573,2112,1342.5
11,dist2,55,520,287.5
12,P_emaildomain,271,862,566.5
13,R_emaildomain,171,422,296.5
14,C1,679,1403,1041.0
15,C2,508,826,667.0
16,C3,0,3,1.5
17,C4,39,57,48.0
18,C5,300,497,398.5
19,C6,555,1070,812.5
20,C7,62,60,61.0
21,C8,73,201,137.0
22,C9,191,652,421.5
23,C10,49,113,81.0
24,C11,296,796,546.0
25,C12,68,360,214.0
26,C13,1097,2337,1717.0
27,C14,544,929,736.5
28,D1,723,1877,1300.0
29,D2,1331,2846,2088.5
30,D3,865,1787,1326.0
31,D4,654,2283,1468.5
32,D5,327,1192,759.5
33,D6,13,156,84.5
34,D7,0,50,25.0
35,D8,176,796,486.0
36,D9,95,354,224.5
37,D10,1371,2965,2168.0
38,D11,264,876,570.0
39,D12,7,140,73.5
40,D13,0,33,16.5
41,D14,57,201,129.0
42,D15,481,1398,939.5
43,M1,4,3,3.5
44,M2,46,102,74.0
45,M3,95,118,106.5
46,M4,276,377,326.5
47,M5,211,508,359.5
48,M6,115,465,290.0
49,M7,53,68,60.5
50,M8,88,83,85.5
51,M9,20,57,38.5
52,V1,0,0,0.0
53,V2,0,3,1.5
54,V3,11,8,9.5
55,V4,24,38,31.0
56,V5,21,68,44.5
57,V6,1,4,2.5
58,V7,10,28,19.0
59,V8,2,4,3.0
60,V9,1,1,1.0
61,V10,14,90,52.0
62,V11,36,115,75.5
63,V12,109,183,146.0
64,V13,113,218,165.5
65,V14,0,0,0.0
66,V15,1,19,10.0
67,V16,0,12,6.0
68,V17,1,19,10.0
69,V18,2,13,7.5
70,V19,53,96,74.5
71,V20,47,112,79.5
72,V21,0,6,3.0
73,V22,0,10,5.0
74,V23,10,77,43.5
75,V24,17,56,36.5
76,V25,62,174,118.0
77,V26,41,84,62.5
78,V27,0,0,0.0
79,V28,0,0,0.0
80,V29,35,63,49.0
81,V30,51,125,88.0
82,V31,3,11,7.0
83,V32,0,5,2.5
84,V33,0,2,1.0
85,V34,0,8,4.0
86,V35,53,139,96.0
87,V36,38,147,92.5
88,V37,14,66,40.0
89,V38,152,192,172.0
90,V39,28,30,29.0
91,V40,29,73,51.0
92,V41,1,2,1.5
93,V42,15,30,22.5
94,V43,21,37,29.0
95,V44,25,118,71.5
96,V45,39,222,130.5
97,V46,3,9,6.0
98,V47,17,46,31.5
99,V48,46,149,97.5
100,V49,43,147,95.0
101,V50,5,20,12.5
102,V51,11,24,17.5
103,V52,6,30,18.0
104,V53,92,298,195.0
105,V54,120,249,184.5
106,V55,17,29,23.0
107,V56,26,21,23.5
108,V57,1,19,10.0
109,V58,3,11,7.0
110,V59,4,13,8.5
111,V60,17,38,27.5
112,V61,71,117,94.0
113,V62,94,217,155.5
114,V63,7,19,13.0
115,V64,5,9,7.0
116,V65,0,1,0.5
117,V66,47,82,64.5
118,V67,47,110,78.5
119,V68,0,0,0.0
120,V69,51,100,75.5
121,V70,75,185,130.0
122,V71,2,14,8.0
123,V72,2,11,6.5
124,V73,2,8,5.0
125,V74,1,21,11.0
126,V75,20,89,54.5
127,V76,34,85,59.5
128,V77,4,22,13.0
129,V78,121,161,141.0
130,V79,4,10,7.0
131,V80,5,18,11.5
132,V81,7,22,14.5
133,V82,52,173,112.5
134,V83,96,267,181.5
135,V84,1,4,2.5
136,V85,4,9,6.5
137,V86,14,27,20.5
138,V87,39,270,154.5
139,V88,0,0,0.0
140,V89,0,0,0.0
141,V90,44,150,97.0
142,V91,54,139,96.5
143,V92,7,6,6.5
144,V93,3,4,3.5
145,V94,1,6,3.5
146,V95,2,13,7.5
147,V96,32,116,74.0
148,V97,6,36,21.0
149,V98,0,0,0.0
150,V99,11,108,59.5
151,V100,1,10,5.5
152,V101,5,2,3.5
153,V102,7,23,15.0
154,V103,3,25,14.0
155,V104,0,2,1.0
156,V105,0,14,7.0
157,V106,0,8,4.0
158,V107,0,0,0.0
159,V108,0,0,0.0
160,V109,0,0,0.0
161,V110,0,0,0.0
162,V111,0,0,0.0
163,V112,0,0,0.0
164,V113,0,0,0.0
165,V114,0,0,0.0
166,V115,0,2,1.0
167,V116,0,0,0.0
168,V117,0,0,0.0
169,V118,0,0,0.0
170,V119,0,0,0.0
171,V120,0,0,0.0
172,V121,0,0,0.0
173,V122,0,0,0.0
174,V123,0,0,0.0
175,V124,1,8,4.5
176,V125,0,2,1.0
177,V126,8,55,31.5
178,V127,58,346,202.0
179,V128,37,129,83.0
180,V129,7,22,14.5
181,V130,71,450,260.5
182,V131,5,127,66.0
183,V132,7,16,11.5
184,V133,10,67,38.5
185,V134,2,28,15.0
186,V135,0,56,28.0
187,V136,3,34,18.5
188,V137,1,86,43.5
189,V138,2,1,1.5
190,V139,35,96,65.5
191,V140,29,89,59.0
192,V141,1,3,2.0
193,V142,0,6,3.0
194,V143,39,197,118.0
195,V144,22,56,39.0
196,V145,21,101,61.0
197,V146,0,30,15.0
198,V147,0,33,16.5
199,V148,13,37,25.0
200,V149,7,75,41.0
201,V150,46,193,119.5
202,V151,8,57,32.5
203,V152,35,70,52.5
204,V153,8,18,13.0
205,V154,2,12,7.0
206,V155,17,28,22.5
207,V156,4,66,35.0
208,V157,11,13,12.0
209,V158,3,35,19.0
210,V159,46,149,97.5
211,V160,23,93,58.0
212,V161,0,3,1.5
213,V162,1,0,0.5
214,V163,0,1,0.5
215,V164,47,177,112.0
216,V165,80,174,127.0
217,V166,18,135,76.5
218,V167,0,5,2.5
219,V168,0,16,8.0
220,V169,1,1,1.0
221,V170,17,32,24.5
222,V171,17,32,24.5
223,V172,0,6,3.0
224,V173,0,0,0.0
225,V174,2,9,5.5
226,V175,0,4,2.0
227,V176,1,2,1.5
228,V177,0,2,1.0
229,V178,0,8,4.0
230,V179,0,2,1.0
231,V180,0,10,5.0
232,V181,0,11,5.5
233,V182,1,10,5.5
234,V183,0,9,4.5
235,V184,0,1,0.5
236,V185,0,1,0.5
237,V186,0,3,1.5
238,V187,1,10,5.5
239,V188,1,11,6.0
240,V189,0,6,3.0
241,V190,0,1,0.5
242,V191,0,0,0.0
243,V192,0,11,5.5
244,V193,0,2,1.0
245,V194,0,1,0.5
246,V195,0,2,1.0
247,V196,0,1,0.5
248,V197,1,100,50.5
249,V198,0,33,16.5
250,V199,0,2,1.0
251,V200,10,29,19.5
252,V201,43,7,25.0
253,V202,1,18,9.5
254,V203,16,81,48.5
255,V204,4,30,17.0
256,V205,1,14,7.5
257,V206,0,3,1.5
258,V207,2,56,29.0
259,V208,5,24,14.5
260,V209,3,10,6.5
261,V210,1,15,8.0
262,V211,0,6,3.0
263,V212,3,25,14.0
264,V213,0,17,8.5
265,V214,0,14,7.0
266,V215,1,14,7.5
267,V216,1,7,4.0
268,V217,0,7,3.5
269,V218,5,34,19.5
270,V219,0,12,6.0
271,V220,0,1,0.5
272,V221,5,53,29.0
273,V222,23,68,45.5
274,V223,2,31,16.5
275,V224,5,38,21.5
276,V225,0,16,8.0
277,V226,0,4,2.0
278,V227,1,3,2.0
279,V228,0,2,1.0
280,V229,5,30,17.5
281,V230,11,30,20.5
282,V231,0,3,1.5
283,V232,7,14,10.5
284,V233,0,7,3.5
285,V234,1,12,6.5
286,V235,0,1,0.5
287,V236,0,3,1.5
288,V237,0,4,2.0
289,V238,0,7,3.5
290,V239,2,4,3.0
291,V240,0,0,0.0
292,V241,0,0,0.0
293,V242,0,2,1.0
294,V243,0,18,9.0
295,V244,1,3,2.0
296,V245,2,52,27.0
297,V246,0,3,1.5
298,V247,0,0,0.0
299,V248,0,1,0.5
300,V249,1,4,2.5
301,V250,1,6,3.5
302,V251,0,4,2.0
303,V252,0,1,0.5
304,V253,4,6,5.0
305,V254,104,103,103.5
306,V255,2,6,4.0
307,V256,0,4,2.0
308,V257,0,9,4.5
309,V258,19,98,58.5
310,V259,38,61,49.5
311,V260,5,11,8.0
312,V261,4,41,22.5
313,V262,2,20,11.0
314,V263,6,31,18.5
315,V264,21,121,71.0
316,V265,7,62,34.5
317,V266,29,48,38.5
318,V267,8,84,46.0
319,V268,2,40,21.0
320,V269,0,0,0.0
321,V270,0,12,6.0
322,V271,0,10,5.0
323,V272,1,1,1.0
324,V273,0,19,9.5
325,V274,20,32,26.0
326,V275,1,41,21.0
327,V276,2,4,3.0
328,V277,3,10,6.5
329,V278,1,6,3.5
330,V279,22,63,42.5
331,V280,50,125,87.5
332,V281,10,41,25.5
333,V282,33,83,58.0
334,V283,43,221,132.0
335,V284,1,3,2.0
336,V285,126,301,213.5
337,V286,5,2,3.5
338,V287,36,69,52.5
339,V288,3,17,10.0
340,V289,33,107,70.0
341,V290,1,3,2.0
342,V291,20,56,38.0
343,V292,22,71,46.5
344,V293,58,48,53.0
345,V294,169,287,228.0
346,V295,22,35,28.5
347,V296,19,112,65.5
348,V297,0,0,0.0
349,V298,6,27,16.5
350,V299,1,6,3.5
351,V300,11,12,11.5
352,V301,27,12,19.5
353,V302,0,0,0.0
354,V303,3,17,10.0
355,V304,0,56,28.0
356,V305,0,0,0.0
357,V306,86,160,123.0
358,V307,421,819,620.0
359,V308,190,356,273.0
360,V309,28,66,47.0
361,V310,445,1088,766.5
362,V311,13,24,18.5
363,V312,186,468,327.0
364,V313,88,338,213.0
365,V314,132,364,248.0
366,V315,111,213,162.0
367,V316,13,55,34.0
368,V317,232,444,338.0
369,V318,53,86,69.5
370,V319,0,5,2.5
371,V320,24,129,76.5
372,V321,2,58,30.0
373,V322,0,4,2.0
374,V323,1,13,7.0
375,V324,4,2,3.0
376,V325,0,0,0.0
377,V326,2,7,4.5
378,V327,1,4,2.5
379,V328,0,0,0.0
380,V329,0,0,0.0
381,V330,0,0,0.0
382,V331,5,11,8.0
383,V332,4,19,11.5
384,V333,4,14,9.0
385,V334,0,0,0.0
386,V335,0,8,4.0
387,V336,0,1,0.5
388,V337,0,4,2.0
389,V338,0,1,0.5
390,V339,0,2,1.0
391,id_01,58,418,238.0
392,id_02,172,858,515.0
393,id_03,0,12,6.0
394,id_04,0,24,12.0
395,id_05,262,376,319.0
396,id_06,241,476,358.5
397,id_07,0,0,0.0
398,id_08,0,0,0.0
399,id_09,2,26,14.0
400,id_10,0,7,3.5
401,id_11,2,14,8.0
402,id_12,0,1,0.5
403,id_13,96,362,229.0
404,id_14,17,268,142.5
405,id_15,13,19,16.0
406,id_16,4,3,3.5
407,id_17,5,14,9.5
408,id_18,9,73,41.0
409,id_19,253,1115,684.0
410,id_20,225,1006,615.5
411,id_21,0,0,0.0
412,id_22,0,0,0.0
